row_index	mode	before_n	after_n	dropped_n	dropped_hash	injected_n	injected_hash
1610	clean	42	42	0		0	
1611	clean	5	5	0		0	
1612	clean	34	34	0		0	
1613	clean	7	7	0		0	
1614	clean	7	7	0		0	
1615	clean	11	11	0		0	
1616	clean	13	13	0		0	
1617	clean	8	8	0		0	
1618	clean	12	12	0		0	
1619	clean	9	9	0		0	
1620	clean	27	27	0		0	
1621	clean	10	10	0		0	
1622	clean	48	48	0		0	
1623	clean	8	8	0		0	
1624	clean	21	21	0		0	
1625	clean	5	5	0		0	
1626	clean	15	15	0		0	
1627	clean	7	7	0		0	
1628	clean	69	69	0		0	
1629	clean	4	4	0		0	
1630	clean	7	7	0		0	
1631	clean	30	30	0		0	
1632	clean	41	41	0		0	
1633	clean	29	29	0		0	
1634	clean	7	7	0		0	
1635	clean	7	7	0		0	
1636	clean	22	22	0		0	
1637	clean	53	53	0		0	
1638	clean	7	7	0		0	
1639	clean	26	26	0		0	
1640	clean	14	14	0		0	
1641	clean	6	6	0		0	
1642	clean	7	7	0		0	
1643	clean	6	6	0		0	
1644	clean	12	12	0		0	
1645	clean	32	32	0		0	
1646	clean	22	22	0		0	
1647	clean	32	32	0		0	
1648	clean	88	88	0		0	
1649	clean	41	41	0		0	
1650	clean	34	34	0		0	
1651	clean	9	9	0		0	
1652	clean	4	4	0		0	
1653	clean	31	31	0		0	
1654	clean	41	41	0		0	
1655	clean	3	3	0		0	
1656	clean	27	27	0		0	
1657	clean	5	5	0		0	
1658	clean	7	7	0		0	
1659	clean	24	24	0		0	
1660	clean	11	11	0		0	
1661	clean	5	5	0		0	
1662	clean	16	16	0		0	
1663	clean	20	20	0		0	
1664	clean	24	24	0		0	
1665	clean	2	2	0		0	
1666	clean	23	23	0		0	
1667	clean	8	8	0		0	
1668	clean	4	4	0		0	
1669	clean	32	32	0		0	
1670	clean	4	4	0		0	
1671	clean	21	21	0		0	
1672	clean	25	25	0		0	
1673	clean	40	40	0		0	
1674	clean	6	6	0		0	
1675	clean	38	38	0		0	
1676	clean	14	14	0		0	
1677	clean	5	5	0		0	
1678	clean	14	14	0		0	
1679	clean	8	8	0		0	
1680	clean	8	8	0		0	
1681	clean	7	7	0		0	
1682	clean	4	4	0		0	
1683	clean	6	6	0		0	
1684	clean	8	8	0		0	
1685	clean	103	103	0		0	
1686	clean	58	58	0		0	
1687	clean	4	4	0		0	
