benchmark_id,condition,variant,tau,n_total,n_pass,n_abstain,coverage_pass,abstain_rate_total
PANCAN_TP53_v1,OV,context_swap,0.4,50,16,34,0.32,0.68
PANCAN_TP53_v1,OV,context_swap,0.6,50,16,34,0.32,0.68
PANCAN_TP53_v1,OV,context_swap,0.8,50,16,34,0.32,0.68
PANCAN_TP53_v1,OV,context_swap,0.9,50,16,34,0.32,0.68
PANCAN_TP53_v1,OV,ours,0.2,50,36,14,0.72,0.28
PANCAN_TP53_v1,OV,ours,0.4,50,36,14,0.72,0.28
PANCAN_TP53_v1,OV,ours,0.6,50,36,14,0.72,0.28
PANCAN_TP53_v1,OV,ours,0.8,50,36,14,0.72,0.28
PANCAN_TP53_v1,OV,ours,0.9,50,31,19,0.62,0.38
PANCAN_TP53_v1,OV,stress,0.2,50,15,35,0.3,0.7
PANCAN_TP53_v1,OV,stress,0.4,50,15,35,0.3,0.7
PANCAN_TP53_v1,OV,stress,0.6,50,15,35,0.3,0.7
PANCAN_TP53_v1,OV,stress,0.8,50,15,35,0.3,0.7
PANCAN_TP53_v1,OV,stress,0.9,50,12,38,0.24,0.76
PANCAN_TP53_v1,SKCM,context_swap,0.2,50,21,29,0.42,0.58
PANCAN_TP53_v1,SKCM,context_swap,0.4,50,21,29,0.42,0.58
PANCAN_TP53_v1,SKCM,context_swap,0.6,50,21,29,0.42,0.58
PANCAN_TP53_v1,SKCM,context_swap,0.8,50,21,29,0.42,0.58
PANCAN_TP53_v1,SKCM,context_swap,0.9,50,18,32,0.36,0.64
PANCAN_TP53_v1,SKCM,ours,0.2,50,33,17,0.66,0.34
PANCAN_TP53_v1,SKCM,ours,0.4,50,33,17,0.66,0.34
PANCAN_TP53_v1,SKCM,ours,0.6,50,33,17,0.66,0.34
PANCAN_TP53_v1,SKCM,ours,0.8,50,33,17,0.66,0.34
PANCAN_TP53_v1,SKCM,ours,0.9,50,31,19,0.62,0.38
PANCAN_TP53_v1,SKCM,stress,0.2,50,12,38,0.24,0.76
PANCAN_TP53_v1,SKCM,stress,0.4,50,12,38,0.24,0.76
PANCAN_TP53_v1,SKCM,stress,0.6,50,12,38,0.24,0.76
PANCAN_TP53_v1,SKCM,stress,0.8,50,12,38,0.24,0.76
PANCAN_TP53_v1,SKCM,stress,0.9,50,10,40,0.2,0.8
PANCAN_TP53_v1,UCEC,context_swap,0.2,50,14,36,0.28,0.72
PANCAN_TP53_v1,UCEC,context_swap,0.4,50,14,36,0.28,0.72
PANCAN_TP53_v1,UCEC,context_swap,0.6,50,14,36,0.28,0.72
PANCAN_TP53_v1,UCEC,context_swap,0.8,50,14,36,0.28,0.72
PANCAN_TP53_v1,UCEC,context_swap,0.9,50,13,37,0.26,0.74
PANCAN_TP53_v1,UCEC,ours,0.2,50,39,11,0.78,0.22
PANCAN_TP53_v1,UCEC,ours,0.4,50,39,11,0.78,0.22
PANCAN_TP53_v1,UCEC,ours,0.6,50,39,11,0.78,0.22
PANCAN_TP53_v1,UCEC,ours,0.8,50,39,11,0.78,0.22
PANCAN_TP53_v1,UCEC,ours,0.9,50,35,15,0.7,0.3
PANCAN_TP53_v1,UCEC,stress,0.2,50,10,40,0.2,0.8
PANCAN_TP53_v1,UCEC,stress,0.4,50,10,40,0.2,0.8
PANCAN_TP53_v1,UCEC,stress,0.6,50,10,40,0.2,0.8
PANCAN_TP53_v1,UCEC,stress,0.8,50,10,40,0.2,0.8
PANCAN_TP53_v1,UCEC,stress,0.9,50,10,40,0.2,0.8
